---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 23-3  4.590e+02  [-35 1.636e-02 6.217e-03 2.138e-03]  !9 -1 89!  WARNING: The linear system solution has not converged
 NS 23-4  4.630e+02  [-52 2.378e-03 9.039e-04 1.202e-02]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 23-5  4.669e+02  [-68 3.726e-04 1.416e-04 5.933e-02]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 24-1  4.690e+02  [0 1.000e+00 3.672e-01 9.224e-04]  [4 -6 82]
 NS 24-2  4.729e+02  [-19 1.040e-01 3.819e-02 9.586e-04]  [8 -1 88]
 NS 24-3  4.768e+02  [-35 1.618e-02 5.942e-03 4.282e-03]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 24-4  4.808e+02  [-52 2.425e-03 8.907e-04 2.171e-02]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 24-5  4.848e+02  [-67 3.987e-04 1.464e-04 1.205e-01]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 25-1  4.867e+02  [0 1.000e+00 3.540e-01 8.573e-04]  [4 -6 82]
 NS 25-2  4.904e+02  [-19 1.035e-01 3.662e-02 1.110e-03]  !9 -1 91!  WARNING: The linear system solution has not converged
 NS 25-3  4.951e+02  [-35 1.596e-02 5.648e-03 6.391e-03]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 25-4  4.995e+02  [-52 2.347e-03 8.309e-04 2.682e-02]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 25-5  5.054e+02  [-68 3.727e-04 1.319e-04 1.237e-01]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 26-1  5.084e+02  [0 1.000e+00 3.395e-01 8.181e-04]  [4 -6 80]
 NS 26-2  5.118e+02  [-19 1.024e-01 3.476e-02 7.898e-04]  [7 -5 89]
 NS 26-3  5.170e+02  [-35 1.591e-02 5.400e-03 8.737e-04]  [7 -4 92]
 NS 26-4  5.210e+02  [-53 2.198e-03 7.463e-04 3.501e-03]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 26-5  5.250e+02  [-69 3.299e-04 1.120e-04 1.616e-02]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 27-1  5.271e+02  [0 1.000e+00 3.248e-01 7.797e-04]  [4 -6 82]
 NS 27-2  5.301e+02  [-19 1.005e-01 3.265e-02 8.235e-04]  [7 -5 87]
 NS 27-3  5.340e+02  [-35 1.594e-02 5.176e-03 1.885e-03]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 27-4  5.379e+02  [-53 2.071e-03 6.725e-04 1.074e-02]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 27-5  5.419e+02  [-70 3.152e-04 1.024e-04 5.317e-02]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 28-1  5.440e+02  [0 1.000e+00 3.092e-01 8.005e-04]  [4 -6 83]
 NS 28-2  5.470e+02  [-20 9.981e-02 3.086e-02 9.725e-04]  [7 -4 87]
 NS 28-3  5.509e+02  [-35 1.681e-02 5.195e-03 3.632e-03]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 28-4  5.549e+02  [-53 2.212e-03 6.840e-04 2.008e-02]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 28-5  5.588e+02  [-68 3.591e-04 1.110e-04 7.995e-02]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 29-1  5.610e+02  [0 1.000e+00 2.924e-01 8.173e-04]  [4 -6 83]
 NS 29-2  5.648e+02  [-19 1.030e-01 3.013e-02 1.113e-03]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 29-3  5.687e+02  [-34 1.809e-02 5.289e-03 6.237e-03]  !9 0 89!  WARNING: The linear system solution has not converged
 NS 29-4  5.727e+02  [-52 2.506e-03 7.329e-04 2.603e-02]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 29-5  5.769e+02  [-67 4.402e-04 1.287e-04 1.187e-01]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 30-1  5.790e+02  [0 1.000e+00 2.748e-01 8.740e-04]  [4 -6 84]
 NS 30-2  5.827e+02  [-19 1.056e-01 2.902e-02 1.515e-03]  !9 -1 90!  WARNING: The linear system solution has not converged
 NS 30-3  5.870e+02  [-34 1.932e-02 5.310e-03 8.709e-03]  !9 0 93!  WARNING: The linear system solution has not converged
 NS 30-4  5.912e+02  [-50 2.859e-03 7.857e-04 3.642e-02]  !9 0 89!  WARNING: The linear system solution has not converged
 NS 30-5  5.951e+02  [-65 5.407e-04 1.486e-04 1.325e-01]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 31-1  5.972e+02  [0 1.000e+00 2.559e-01 8.997e-04]  [4 -6 81]
 NS 31-2  6.009e+02  [-19 1.075e-01 2.752e-02 1.387e-03]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 31-3  6.047e+02  [-33 2.009e-02 5.140e-03 6.255e-03]  !9 -1 91!  WARNING: The linear system solution has not converged
 NS 31-4  6.087e+02  [-49 3.256e-03 8.333e-04 3.165e-02]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 31-5  6.130e+02  [-64 6.259e-04 1.602e-04 1.261e-01]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 32-1  6.154e+02  [0 1.000e+00 2.360e-01 9.434e-04]  [4 -6 84]
 NS 32-2  6.192e+02  [-19 1.080e-01 2.549e-02 1.518e-03]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 32-3  6.231e+02  [-33 2.025e-02 4.778e-03 6.922e-03]  !9 0 89!  WARNING: The linear system solution has not converged
 NS 32-4  6.272e+02  [-49 3.517e-03 8.301e-04 2.902e-02]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 32-5  6.311e+02  [-62 7.336e-04 1.731e-04 1.015e-01]  !9 0 89!  WARNING: The linear system solution has not converged
 NS 33-1  6.332e+02  [0 1.000e+00 2.170e-01 8.884e-04]  [4 -6 82]
 NS 33-2  6.396e+02  [-19 1.073e-01 2.328e-02 1.225e-03]  !9 -1 92!  WARNING: The linear system solution has not converged
 NS 33-3  6.471e+02  [-33 2.008e-02 4.356e-03 5.082e-03]  !9 -1 94!  WARNING: The linear system solution has not converged
 NS 33-4  6.523e+02  [-48 3.562e-03 7.728e-04 2.292e-02]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 33-5  6.562e+02  [-61 7.968e-04 1.729e-04 7.662e-02]  !9 -1 90!  WARNING: The linear system solution has not converged
 NS 34-1  6.582e+02  [0 1.000e+00 1.996e-01 8.970e-04]  [4 -6 80]
 NS 34-2  6.620e+02  [-19 1.073e-01 2.142e-02 8.456e-04]  [9 -2 90]
 NS 34-3  6.658e+02  [-33 2.007e-02 4.005e-03 4.752e-03]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 34-4  6.697e+02  [-48 3.563e-03 7.112e-04 1.875e-02]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 34-5  6.736e+02  [-61 8.251e-04 1.647e-04 5.372e-02]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 35-1  6.757e+02  [0 1.000e+00 1.842e-01 9.123e-04]  [4 -6 84]
 NS 35-2  6.795e+02  [-19 1.082e-01 1.993e-02 8.690e-04]  [8 -3 91]
 NS 35-3  6.837e+02  [-33 2.033e-02 3.745e-03 3.205e-03]  !9 -1 90!  WARNING: The linear system solution has not converged
 NS 35-4  6.879e+02  [-48 3.561e-03 6.560e-04 1.393e-02]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 35-5  6.923e+02  [-61 8.390e-04 1.546e-04 3.618e-02]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 36-1  6.945e+02  [0 1.000e+00 1.713e-01 9.549e-04]  [4 -6 83]
 NS 36-2  6.979e+02  [-19 1.095e-01 1.876e-02 9.420e-04]  [7 -5 90]
 NS 36-3  7.018e+02  [-33 2.082e-02 3.568e-03 2.012e-03]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 36-4  7.057e+02  [-48 3.591e-03 6.153e-04 9.283e-03]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 36-5  7.097e+02  [-61 8.389e-04 1.437e-04 3.532e-02]  !9 -1 90!  WARNING: The linear system solution has not converged
 NS 37-1  7.117e+02  [0 1.000e+00 1.608e-01 9.794e-04]  [4 -6 83]
 NS 37-2  7.148e+02  [-19 1.101e-01 1.769e-02 9.747e-04]  [7 -5 88]
 NS 37-3  7.187e+02  [-33 2.116e-02 3.402e-03 8.969e-04]  [9 -1 92]
 NS 37-4  7.230e+02  [-48 3.562e-03 5.726e-04 3.812e-03]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 37-5  7.271e+02  [-61 8.047e-04 1.294e-04 1.320e-02]  !9 0 89!  WARNING: The linear system solution has not converged
 NS 38-1  7.290e+02  [0 1.000e+00 1.520e-01 9.958e-04]  [4 -6 81]
 NS 38-2  7.329e+02  [-19 1.082e-01 1.644e-02 7.171e-04]  [8 -4 90]
 NS 38-3  7.367e+02  [-33 2.093e-02 3.181e-03 6.563e-04]  [8 -4 90]
 NS 38-4  7.405e+02  [-49 3.455e-03 5.252e-04 1.365e-03]  !9 -1 90!  WARNING: The linear system solution has not converged
 NS 38-5  7.445e+02  [-62 7.480e-04 1.137e-04 4.977e-03]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 39-1  7.466e+02  [0 1.000e+00 1.445e-01 9.786e-04]  [4 -6 82]
 NS 39-2  7.500e+02  [-19 1.050e-01 1.518e-02 7.375e-04]  [8 -4 89]
 NS 39-3  7.536e+02  [-33 2.044e-02 2.955e-03 7.916e-04]  [8 -4 90]
 NS 39-4  7.575e+02  [-49 3.305e-03 4.777e-04 2.894e-03]  !9 -1 91!  WARNING: The linear system solution has not converged
 NS 39-5  7.618e+02  [-63 6.883e-04 9.950e-05 9.776e-03]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 40-1  7.640e+02  [0 1.000e+00 1.380e-01 9.687e-04]  [4 -6 81]
 NS 40-2  7.670e+02  [-19 1.026e-01 1.416e-02 9.364e-04]  [7 -5 85]
 NS 40-3  7.711e+02  [-33 2.011e-02 2.775e-03 8.085e-04]  [8 -4 91]
 NS 40-4  7.751e+02  [-49 3.165e-03 4.369e-04 2.129e-03]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 40-5  7.790e+02  [-63 6.417e-04 8.856e-05 7.733e-03]  !9 0 89!  WARNING: The linear system solution has not converged
 NS 41-1  7.810e+02  [0 1.000e+00 1.321e-01 9.479e-04]  [4 -6 81]
 NS 41-2  7.840e+02  [-19 1.006e-01 1.329e-02 9.739e-04]  [7 -5 87]
 NS 41-3  7.879e+02  [-34 1.992e-02 2.631e-03 1.898e-03]  !9 -1 91!  WARNING: The linear system solution has not converged
 NS 41-4  7.919e+02  [-50 3.053e-03 4.032e-04 1.009e-02]  !9 0 91!  WARNING: The linear system solution has not converged
